jobcode	jobtitle
302440	c/d comptabilisation des transactions financieres
218880	c/d ressources humaines - service de l eau
106130	directeur(-trice) centre d expertise-intelligence affairesres
209100	chef(fe) de division - paie
601790	ferblantier(-iere) couvreur(-euse)
222500	chef(fe) de section - informations policieres et mandats
106560	directeur(-trice) - grands projets de transport en partenariat
283120	chef(fe) de division - planification des strategies residentielles
400980	conseiller(-ere) sciences environnement ou aliments
600680	aide mecanicien(ne) en tuyauterie - refrigeration
217790	chef(fe) de section - gestion des projets d amenagement des grands parcs
221790	chef(fe) de division - comptabilisation des revenus et controles financiers
709520	prepose(e) au materiel - centre loisirs - mtl-nord
220510	chef de division - centre de services ti
219030	c/d ressources financières sdo
607870	mecanicien(ne) d expertise
221200	chef(fe) de division - foret urbaine
601140	prepose(e) - materiel et montage (evenements)
221930	chef(fe) de division - avantages sociaux
223400	conseiller(-ere) en ressources humaines - stratégie et inclu
208500	chef(fe) de division - sports, loisirs et installations (arr. pierrefonds)
218180	c/d bureau des grands projets
106360	directeur(-trice) - ateliers specialises
216880	charge(e) de secretariat
792950	charge(e) de soutien documentaire
791410	prepose(e) au secretariat
721160	préposé(e) à l information du cadre bâti
400650	professionnel(le)(domaine d expertise)-chef d équipe
721450	agent(e) de formation et de contrôle de la qualité -spvm
701120	agent(e) de liaison - cinema
611410	etudiant(e) - cols bleus
304550	agent(e) de developpement culturel
713350	prepose(e) a l information policiere - cum
792930	analyste de dossiers
222730	chef(fe) de division - entretien de l eclairage et feux de circulation (arr. rosemont)
601920	electricien(ne) - batiments
720910	commis a l accueil - verd
700300	photographe
732530	conseiller(-ere) en logiciel materiell
401160	developpeur(-euse)/concepteur(-trice) principal(e)
401370	analyste d affaires - conseil
600490	prepose(e) a la reception a l expedition
700740	prepose(e) au marketing
400730	conseiller(-ere)-bureau des régimes de retraite
400820	profil - 400790 - telecommunications
607830	mecanicien(ne) entretien - usines
722010	agent(e) service a la clientele - mobilite
755850	animateur(-trice) horticole
802230	prepose(e) aux activites libres - stle
215710	chef(fe) de division - acquisition
215910	chef(fe) de division - soutien projets gestion programmes habitation
209410	chef(fe) de division - ressources humaines et financieres (arrondissement)
603730	opérateur(-trice) - usines de l ouest
219490	chef(fe) de section - assurance qualite et amelioration de la perfo.(premiers repondants)
105720	directeur-gest durable eau et soutien à l exploitation
771820	prepose(e) principal(e) au centre de communication du sim
711140	prepose(e) a l exploitation des compteurs d eau
702110	responsable du point de service du bureau d immatriculation vehicules
721380	préposé(e) aux données de circulation
